org_inv_dk,rearer_dk,rearer_pop_dk,org_category,start_dt,end_dt,class_result_nm,org_test_result_nm
ciJ9gUr9R2qmB22v2j2nScznrtQ=,,,种猪场,2024-06-12,2024-07-14,高繁感染,A阳（单缺）
L8X1mwESEADgADTRfwAAAcznrtQ=,,,种猪场,2022-06-23,2022-07-14,高繁感染,B阳
bDoAACv+6MnM567U,,,种猪场,2023-06-25,2023-08-17,高繁感染,A阳（单缺）
ni898gXLTwaP5w1M8EhEnMznrtQ=,,,种猪场,2023-10-01,2023-10-22,高繁感染,B阳
bDoAAClE3XPM567U,,,种猪场,2024-07-04,2024-07-24,高繁感染,ABE型
bDoAACleribM567U,,,种猪场,2024-12-06,2024-12-30,高繁感染,"ABE型,B阳"
bDoAAClE3XPM567U,,,种猪场,2022-12-01,2022-12-27,高繁感染,B阳
bDoAAClE3XPM567U,,,种猪场,2023-01-22,2023-02-24,高繁感染,B阳
bDoAABvH6ZbM567U,,,种猪场,2023-01-15,2023-03-05,高繁感染,A阳（双缺）
bDoAAAUUmJ7M567U,,,种猪场,2023-07-16,2023-08-04,高繁感染,B阳
bDoAALEl03fM567U,,,种猪场,2022-07-16,2022-08-06,高繁感染,D阳
bDoAAEhhv3vM567U,,,种猪场,2022-10-13,2022-11-04,高繁感染,B阳
bDoAAEhhv3vM567U,,,种猪场,2022-12-14,2023-02-04,高繁感染,B阳
Kv/utwEREADgAI9NfwAAAcznrtQ=,,,种猪场,2023-11-25,2024-01-09,高繁感染,D阳
bDoAAAg6uQPM567U,,,种猪场,2023-12-09,2024-01-16,高繁感染,ABE型
bDoAAJ7DeuDM567U,,,种猪场,2024-07-01,2024-08-17,高繁感染,A阳（双缺）
6djM4AEREADgAb6AfwAAAcznrtQ=,,,种猪场,2024-12-18,2024-12-30,高繁感染,A阳（双缺）
bDoAAK6eayHM567U,,,种猪场,2024-12-10,2024-12-30,高繁感染,ABE型
aJ1tWgETEADgAQy9fwAAAcznrtQ=,,,种猪场,2022-05-11,2022-06-03,高繁感染,A阳（双缺）
VVMTzQESEADgBAvlfwAAAcznrtQ=,,,种猪场,2022-12-10,2022-12-29,高繁感染,B阳
bDoAABmhgR/M567U,,,种猪场,2023-03-07,2023-04-18,高繁感染,B阳
bDoAADt50rLM567U,,,种猪场,2023-05-21,2023-06-11,高繁感染,B阳
bDoAADt50rLM567U,,,种猪场,2023-08-26,2023-10-23,高繁感染,ABE型
bDoAADIernLM567U,,,种猪场,2023-10-14,2023-11-19,高繁感染,"ABE型,B阳"
fc8915fd-0109-1000-e000-0beec0a802deCCE7AED4,,,种猪场,2024-07-08,2024-08-10,高繁感染,ABD型
bDoAAD/EIvrM567U,,,种猪场,2024-08-01,2024-08-21,高繁感染,ABE型
bDoAAEGDj37M567U,,,种猪场,2023-07-05,2023-09-03,高繁感染,D阳
L8X1mwESEADgADTRfwAAAcznrtQ=,,,种猪场,2024-12-01,2024-12-22,高繁感染,ABE型
bDoAAEz5X2/M567U,,,种猪场,2022-03-10,2022-07-15,高繁感染,A阳（双缺）
